"time,s","alice dist, m","alice elev, rads",alice eff,"bob dist, m","bob elev, rads",bob eff,combined eff,combined loss (dB),Block,QBER (%),Alice Prb. Background,Bob Prb Background,Phi,Xi,Offset
200.0,1792852.8559471637,0.18895269322631406,0.0007063000531260537,1304895.3244468102,0.2610222630586803,0.0016007547978900466,1.1306131987915252e-06,59.466859488875144,1498501.6961399694,0.00010671517819432324,5.535644674822977e-08,5.3499944668517774e-08,0.0,0.0,0.0
199.0,1785870.6284929651,0.1906530362258622,0.0007162295399822352,1298152.1075807954,0.26374279894327257,0.0016250051494216588,1.163876690639038e-06,59.34093029490085,1498501.7460121592,0.00010838180719165892,5.492053304799832e-08,5.30764946883148e-08,0.0,0.0,0.0
198.0,1778890.2167161615,0.19236237509738974,0.0007263141900505516,1291414.6475870362,0.2664859481835187,0.001649016741551619,1.197704259019864e-06,59.216504060966955,1498501.7967294946,0.00011007665984280635,5.4482313093180376e-08,5.2650804394355985e-08,0.0,0.0,0.0
197.0,1771911.6507028472,0.19408081377115283,0.0007365569283606526,1284683.0433839844,0.26925204677656234,0.0016734820853660157,1.232614824463772e-06,59.091726133828075,1498501.849070154,0.00011182574656894459,5.404176023937383e-08,5.2222847904060597e-08,0.0,0.0,0.0
196.0,1764934.9609730279,0.19580845773398095,0.0007469607446108699,1277957.395843816,0.27204143693219596,0.0016984115729760192,1.2686467732058861e-06,58.96659280822245,1498501.9030916688,0.00011363098921289855,5.359884744312093e-08,5.1792598947202035e-08,0.0,0.0,0.0
195.0,1757960.178488905,0.19754541405747333,0.0007575286947979317,1271237.8078394635,0.2748544672033119,0.0017238158690275373,1.3058399853363927e-06,58.84110037259292,1498501.9588538087,0.00011549438439878868,5.315354725467943e-08,5.1360030858885904e-08,0.0,0.0,0.0
194.0,1750987.3346633387,0.19929179142678807,0.0007682639028923674,1264524.3842929255,0.277691492619161,0.0017497059184651037,1.3442358978338748e-06,58.715245109416415,1498502.016418677,0.00011741800668715385,5.270583181064211e-08,5.092511657238034e-08,0.0,0.0,0.0
193.0,1744016.461368499,0.20104770017002732,0.000779169562560955,1257817.2322248865,0.2805528748214523,0.0017760929545204498,1.383877570441293e-06,58.58902329556757,1498502.075850809,0.00011940401187235264,5.225567282640331e-08,5.048782861179802e-08,0.0,0.0,0.0
192.0,1737047.5909447207,0.20281325228824454,0.0007902489389376783,1251116.4608056988,0.2834389822033585,0.0018029885069314805,1.4248097545194312e-06,58.4624312027175,1498502.1372172744,0.00012145464042898994,5.1803041588465976e-08,5.004813908462318e-08,0.0,0.0,0.0
191.0,1730080.7562095472,0.2045885614860758,0.0008015053704446513,1244422.1814077478,0.2863501900514573,0.001830404410397471,1.4670789650191486e-06,58.33546509776943,1498502.2005877867,0.0001235722211144426,5.13479089465889e-08,4.960601967408334e-08,0.0,0.0,0.0
190.0,1723115.9904669905,0.20637374320302126,0.0008129422706645631,1237734.5076592595,0.2892868806906697,0.0018583528132763102,1.5107335557207224e-06,58.208121243332656,1498502.266034815,0.00012575917473490593,5.089024530576701e-08,4.9161441631358954e-08,0.0,0.0,0.0
189.0,1716153.327516994,0.20816891464538434,0.0008245631302662095,1231053.5554995777,0.2922494436322314,0.0018868461865296816,1.5558237978957746e-06,58.080395898236276,1498502.3336337015,0.0001280180180827425,5.0430020618043257e-08,4.871437576762936e-08,0.0,0.0,0.0
188.0,1709192.801665112,0.2099741948188824,0.0008359484158495119,1224379.4432359587,0.29523827572473915,0.0019158973329220744,1.601591340386513e-06,57.95448288036909,1498502.4022479127,0.00013031078608500968,5.0013752235296734e-08,4.831021276742995e-08,0.0,0.0,0.0
187.0,1702234.447732417,0.211789704561956,0.0008464963082639655,1217712.2916019333,0.29825378130833186,0.0019455193964795676,1.6468749867758923e-06,57.83339366594666,1498502.4701371908,0.00013257934730556809,4.9706365695998856e-08,4.801230559815468e-08,0.0,0.0,0.0
186.0,1695278.3010656247,0.2136155665797756,0.0008572072400859503,1211052.2238172689,0.3012963723720224,0.0019757258722142607,1.6936065220871933e-06,57.71187482515201,1498502.5401966989,0.00013492041296896503,4.9397226398325444e-08,4.771269972311541e-08,0.0,0.0,0.0
185.0,1688324.3975474597,0.21545190547898008,0.0008680843080795457,1204399.3656495896,0.3043664687142483,0.00200653061612031,1.7418377415352238e-06,57.58992303540735,1498502.6125040648,0.00013733657622850832,4.9086313244949075e-08,4.741137469559672e-08,0.0,0.0,0.0
184.0,1681372.7736072578,0.2172988478031473,0.0008791306783892299,1197753.845477698,0.30746449810665316,0.0020379478554473428,1.7916224806812986e-06,57.467534968108595,1498502.6871399733,0.00013983053237556623,4.877360481059641e-08,4.710830975105071e-08,0.0,0.0,0.0
183.0,1674423.4662318116,0.21915652206902803,0.0008903495883124246,1191115.7943566437,0.310590896461159,0.002069992199257155,1.8430167024185385e-06,57.344707289505756,1498502.7641882985,0.0001424050831935821,4.8459079335913434e-08,4.680348380115128e-08,0.0,0.0,0.0
182.0,1667476.5129764734,0.22102505880355328,0.000901744348122219,1184485.3460845982,0.31374610800034797,0.0021026786492693394,1.8960785878958884e-06,57.22143666163454,1498502.8437362383,0.0001450631415092241,4.81427147211996e-08,4.6496875427721747e-08,0.0,0.0,0.0
181.0,1660531.9519765112,0.22290459058163017,0.0009133183429418076,1177862.6372715773,0.31693058543118513,0.0021340068417851606,1.9490275925657033e-06,57.101820124913054,1498502.9231140078,0.00014771548187832742,4.782448852000866e-08,4.618846287653275e-08,0.0,0.0,0.0
180.0,1653589.8219587319,0.2247952520647561,0.0009250750346722375,1171247.8074100718,0.32014479012212416,0.0021656382504461518,2.0033778796189978e-06,56.98237125816276,1498503.0045919463,0.00015043797910534314,4.7504377932610794e-08,4.587822405096617e-08,0.0,0.0,0.0
179.0,1646650.1622533798,0.22669718004046058,0.0009370179639750782,1164640.9989476397,0.3233891922836086,0.002197884138772965,2.059456920766162e-06,56.862472880820306,1498503.0886610255,0.00015324704020422346,4.718235979931459e-08,4.556613650554305e-08,0.0,0.0,0.0
178.0,1639713.012806309,0.22861051346259287,0.0009491507523117027,1158042.3573615102,0.32666427115198804,0.002230758881564611,2.117326470663063e-06,56.742121729319166,1498503.1754137985,0.00015614575682513387,4.685841059364604e-08,4.525217743931286e-08,0.0,0.0,0.0
177.0,1632778.414191447,0.23053539349248606,0.0009614771040409309,1151452.0312352648,0.32997051517688275,0.002264277230110746,2.1770507139527004e-06,56.62131454039623,1498503.264946459,0.00015913734225739623,4.653250641537886e-08,4.4936323689098784e-08,0.0,0.0,0.0
176.0,1625846.407623553,0.23247196354100652,0.0009740008085768028,1144870.1723376499,0.33330842221199286,0.002298454322372779,2.2386963684679343e-06,56.50004805233331,1498503.357358998,0.00016222513659510336,4.6204622983415086e-08,4.4618551722597894e-08,0.0,0.0,0.0
175.0,1618917.0349712775,0.23442036931151788,0.0009867257426083608,1138296.9357035817,0.33667849970937297,0.0023333056934074503,2.3023327930597825e-06,56.37831900626581,1498503.4527553623,0.00016541261213423914,4.5874735628510805e-08,4.429883763133118e-08,0.0,0.0,0.0
